category,file,source_key,current_fa_value,latin_words
high-latin,i18n/_combined_index.fa.json,HRV Biofeedback RCT,HRV Biofeedback RCT,Biofeedback
high-latin,i18n/_combined_index.fa.json,Vernier Go Direct Belt (50 Hz piezoelectric),Vernier Go Direct Belt (۵۰ Hz piezoelectric),Go Direct Belt Hz piezoelectric
high-latin,i18n/_combined_index.fa.json,"R 4.3.1 (lme4, brms, Stan, mediation, BayesFactor, ggplot2)","R ۴.۳.۱ (lme۴, brms, Stan, mediation, BayesFactor, ggplot۲)",mediation BayesFactor
high-latin,i18n/_combined_index.fa.json,0.80 for d=0.50 at α=0.05 → N=128 required (160 enrolled for 20% attrition),۰.۸۰ برای d=۰.۵۰ at α=۰.۰۵ → N=۱۲۸ required (۱۶۰ enrolled برای ۲۰% attrition),d at required enrolled attrition
high-latin,i18n/_combined_index.fa.json,Inverse temperature (β) for exploitation/exploration,Inverse temperature (β) برای exploitation/exploration,Inverse temperature exploitation exploration
high-latin,i18n/_combined_index.fa.json,Perseveration parameter (κ) for habitual repetition,Perseveration parameter (κ) برای habitual repetition,Perseveration parameter habitual repetition
high-latin,i18n/_combined_index.fa.json,Accounts for individual differences and uncertainty,Accounts برای individual differences و uncertainty,Accounts individual differences uncertainty
high-latin,i18n/_combined_index.fa.json,Technologies Used,Technologies Used,Technologies Used
high-latin,i18n/_combined_index.fa.json,Core:,Core:,Core
high-latin,i18n/_combined_index.fa.json,"HTML5, CSS3, Vanilla JavaScript ES6+","HTML۵, CSS۳, Vanilla JavaScript ES۶+",Vanilla
high-latin,i18n/_combined_index.fa.json,Storage:,Storage:,Storage
high-latin,i18n/_combined_index.fa.json,Mobile:,Mobile:,Mobile
high-latin,i18n/_combined_index.fa.json,Desktop:,Desktop:,Desktop
high-latin,i18n/_combined_index.fa.json,Install:,Install:,Install
high-latin,i18n/_combined_index.fa.json,Development Challenges & Solutions,Development Challenges و Solutions,Development Challenges Solutions
high-latin,i18n/_combined_index.fa.json,Technical Challenges Solved,Technical Challenges Solved,Technical Challenges Solved
high-latin,i18n/_combined_index.fa.json,Challenge 1: Bilingual Content Management,چالش ۱: Bilingual Content Management,Bilingual Content Management
high-latin,i18n/_combined_index.fa.json,Design Philosophy,Design Philosophy,Design Philosophy
high-latin,i18n/_combined_index.fa.json,Progressive Disclosure:,Progressive Disclosure:,Progressive Disclosure
high-latin,i18n/_combined_index.fa.json,Consistent Patterns:,Consistent Patterns:,Consistent Patterns
high-latin,i18n/_combined_index.fa.json,Visual Hierarchy:,Visual Hierarchy:,Visual Hierarchy
high-latin,i18n/_combined_index.fa.json,Feedback Loops:,Feedback Loops:,Feedback Loops
high-latin,i18n/_combined_index.fa.json,Impact & Usage,Impact و Usage,Impact Usage
high-latin,i18n/_combined_index.fa.json,Skills Demonstrated,Skills Demonstrated,Skills Demonstrated
high-latin,i18n/_combined_index.fa.json,User-Centered Design,User-Centered Design,User-Centered Design
high-latin,i18n/_combined_index.fa.json,Planned Enhancements,Planned Enhancements,Planned Enhancements
high-latin,i18n/_combined_index.fa.json,Progress Analytics:,Progress Analytics:,Progress Analytics
high-latin,i18n/_combined_index.fa.json,Optional sharing of insights and exercise results,Optional sharing از insights و exercise results,Optional sharing insights exercise results
high-latin,i18n/_combined_index.fa.json,Audio Content:,Audio Content:,Audio Content
high-latin,i18n/_combined_index.fa.json,Gamification:,Gamification:,Gamification
high-latin,i18n/_combined_index.fa.json,Achievement system to encourage regular practice,Achievement system تا encourage regular practice,Achievement system encourage regular practice
high-latin,i18n/_combined_index.fa.json,API Integration:,API Integration:,API Integration
high-latin,i18n/_combined_index.fa.json,Project Significance,Project Significance,Project Significance
high-latin,i18n/_combined_index.fa.json,is an alternative implementation of,is an alternative implementation of,is an alternative implementation of
high-latin,i18n/_combined_index.fa.json,Goal:,Goal:,Goal
high-latin,i18n/_combined_index.fa.json,Relationship to THINK-360+,Relationship تا THINK-۳۶۰+,Relationship THINK-
high-latin,i18n/_combined_index.fa.json,Offline distribution:,Offline distribution:,Offline distribution
high-latin,i18n/_combined_index.fa.json,Content-first i18n:,Content-first i۱۸n:,Content-first
high-latin,i18n/_combined_index.fa.json,Thinking Islands:,Thinking Islands:,Thinking
high-latin,i18n/_combined_index.fa.json,Personalization:,Personalization:,Personalization
